Build Deployment Info Sheet - For internal use only
Build Deployment Info Sheet - For internal use only
BUILDINFO:A=calculate-service=A,F=calculate-service=F,J=hcfi-common-services-develop-sit-pipeline=J,N=7=N,R=git@github.honda.ca:hfs/hcfi-common-services.git=R,B=refs/remotes/origin/feature/kevin-test-nexus=B,V=17c2c2c283e6a08d1d602bbaec72b56c7033daf3=V,S=StanleyZhao=S
BUILDINFO:A=dealer-service=A,F=dealer-service=F,J=hcfi-common-services-develop-sit-pipeline=J,N=7=N,R=git@github.honda.ca:hfs/hcfi-common-services.git=R,B=refs/remotes/origin/feature/kevin-test-nexus=B,V=17c2c2c283e6a08d1d602bbaec72b56c7033daf3=V,S=StanleyZhao=S
BUILDINFO:A=model-service=A,F=model-service=F,J=hcfi-common-services-develop-sit-pipeline=J,N=7=N,R=git@github.honda.ca:hfs/hcfi-common-services.git=R,B=refs/remotes/origin/feature/kevin-test-nexus=B,V=17c2c2c283e6a08d1d602bbaec72b56c7033daf3=V,S=StanleyZhao=S
BUILDINFO:A=rate-service=A,F=rate-service=F,J=hcfi-common-services-develop-sit-pipeline=J,N=7=N,R=git@github.honda.ca:hfs/hcfi-common-services.git=R,B=refs/remotes/origin/feature/kevin-test-nexus=B,V=17c2c2c283e6a08d1d602bbaec72b56c7033daf3=V,S=StanleyZhao=S
BUILDINFO:A=hcfi-xpress-rpm-ear=A,F=hcfi-xpress-rpm-ear.ear=F,J=hcfi-printable-contracts-develop-pipeline=J,N=41=N,R=git@github.honda.ca:hfs/hcfi-printable-contracts.git=R,B=origin/develop=B,V=8a919cc778d28bac9bb691edd943d9b5733a6fed=V,S=StanleyZhao=S
BUILDINFO:A=hcfi-xpress-rpm-ear=A,F=hcfi-xpress-rpm-ear.ear=F,J=hcfi-printable-contracts-develop-pipeline=J,N=42=N,R=git@github.honda.ca:hfs/hcfi-printable-contracts.git=R,B=origin/develop=B,V=86b0dce91e30fed50081b0f333098768a98c0f6b=V,S=StanleyZhao=S
DEPLOYINFO:A=hcfi-xpress-rpm-ear=A,F=hcfi-xpress-rpm-ear.ear=F,J=hcfi-printable-contracts-develop-pipeline=J,N=41=N,R=git@github.honda.ca:hfs/hcfi-printable-contracts.git=R,B=origin/develop=B,V=8a919cc778d28bac9bb691edd943d9b5733a6fed=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eBiz=Z,C=32-prod=C,D=1653624418=D,S=StanleyZhao=S
DEPLOYINFO:A=finance-mapics-web=A,F=finance-mapics-web.war=F,J=hcfi-finance-mapics-web-sit-pipeline=J,N=77=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/HCFI-JBoss=Z,C=3=C,D=1655329525=D,S=KevinLou=S
DEPLOYINFO:A=finance-mapics-service=A,F=finance-mapics-service.war=F,J=hcfi-finance-mapics-service-sit-pipeline=J,N=76=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/HCFI-JBoss=Z,C=3=C,D=1655329526=D,S=KevinLou=S
DEPLOYINFO:A=coopad=A,F=coopad.ear=F,J=buildEOfficeApp=J,N=version_220=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eOffice=Z,C=9=C,D=1655604456=D,S=Stanley_Zhao=S
DEPLOYINFO:A=auto=A,F=auto.ear=F,J=buildEBizApp=J,N=Jule18Rel_758=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eBiz=Z,C=35=C,D=1655604484=D,S=Stanley_Zhao=S
DEPLOYINFO:A=hcfi-xpress-online-payout-ear.ear=A,F=hcfi-xpress-online-payout-ear=F,J=hcfi-online-payout-develop-pipeline=J,N=24=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eBiz=Z,C=37=C,D=1656129885=D,S=Stanley_Zhao=S
DEPLOYINFO:A=auto=A,F=auto.ear=F,J=buildEBizApp=J,N=CR1966_762=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eBiz=Z,C=39=C,D=1656815081=D,S=Stanley_Zhao=S
DEPLOYINFO:A=portal=A,F=portal.ear=F,J=buildEBizApp=J,N=0704_769=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eBiz=Z,C=41=C,D=1657418737=D,S=Stanley_Zhao=S
DEPLOYINFO:A=rvc-rest-data=A,F=rvc-rest-data.war=F,J=Recall-SIT_Develop=J,N=12=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/Dealers=Z,C=3=C,D=1657684658=D,S=KevinLou=S
DEPLOYINFO:A=rvc-web=A,F=rvc-web.war=F,J=Recall-SIT_Develop=J,N=12=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/Dealers=Z,C=3=C,D=1657684659=D,S=KevinLou=S
DEPLOYINFO:A=rvc-business=A,F=rvc-business.war=F,J=Recall-SIT_Develop=J,N=12=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/Dealers=Z,C=3=C,D=1657684659=D,S=KevinLou=S
DEPLOYINFO:A=eFiling2=A,F=eFiling2.ear=F,J=ClearCaseMigratedJobs/Common-Zone/build-EFiling=J,N=202207-Rel_100=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/CommonZoneApps=Z,C=12=C,D=1658023466=D,S=Stanley_Zhao=S
DEPLOYINFO:A=hcfi-xpress-rpm-ear=A,F=hcfi-xpress-rpm-ear.ear=F,J=hcfi-printable-contracts-develop-pipeline=J,N=44=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eBiz=Z,C=43=C,D=1658023747=D,S=Stanley_Zhao=S
DEPLOYINFO:A=auto=A,F=auto.ear=F,J=buildEBizApp=J,N=0723Rel_783=N,R=NotAvailable=R,B=NotAvailable=B,V=NotAvailable=V,Z=DevOpsJobs/QA-PROD-Auto-Deployments/eBiz=Z,C=45=C,D=1658628244=D,S=Stanley_Zhao=S
